Date,AYRO,CENN,EVTV,FUV,GOEV,GP,KNDI,LCID,LI,NIO,PEV,PSNY,REE,RIVN,TSLA,VFS,VLCN,WKHS,XOS,XPEV,ZAPP
2004-02-03,2253081.5,,,,,,,,,,,,,,,,,,,,
2004-02-04,2483712.0,,,,,,,,,,,,,,,,,,,,
2004-02-05,2483712.0,,,,,,,,,,,,,,,,,,,,
2004-02-06,2306304.0,,,,,,,,,,,,,,,,,,,,
2004-02-09,2395008.0,,,,,,,,,,,,,,,,,,,,
2004-02-10,2359526.5,,,,,,,,,,,,,,,,,,,,
2004-02-11,2306304.0,,,,,,,,,,,,,,,,,,,,
2004-02-12,2359526.5,,,,,,,,,,,,,,,,,,,,
2004-02-13,2270822.5,,,,,,,,,,,,,,,,,,,,
2004-02-17,2341785.5,,,,,,,,,,,,,,,,,,,,
2004-02-18,2128896.0,,,,,,,,,,,,,,,,,,,,
2004-02-19,2075673.625,,,,,,,,,,,,,,,,,,,,
2004-02-20,1986969.625,,,,,,,,,,,,,,,,,,,,
2004-02-23,1986969.625,,,,,,,,,,,,,,,,,,,,
2004-02-24,2306304.0,,,,,,,,,,,,,,,,,,,,
2004-02-25,2164377.5,,,,,,,,,,,,,,,,,,,,
2004-02-26,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-02-27,2217600.0,,,,,,,,,,,,,,,,,,,,
2004-03-01,2217600.0,,,,,,,,,,,,,,,,,,,,
2004-03-02,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-03-03,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-03-04,2146636.75,,,,,,,,,,,,,,,,,,,,
2004-03-05,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-03-08,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-03-09,2111155.25,,,,,,,,,,,,,,,,,,,,
2004-03-10,2164377.5,,,,,,,,,,,,,,,,,,,,
2004-03-11,1969228.75,,,,,,,,,,,,,,,,,,,,
2004-03-12,2040192.0,,,,,,,,,,,,,,,,,,,,
2004-03-15,1933747.25,,,,,,,,,,,,,,,,,,,,
2004-03-16,1933747.25,,,,,,,,,,,,,,,,,,,,
2004-03-17,1951488.0,,,,,,,,,,,,,,,,,,,,
2004-03-18,1898265.625,,,,,,,,,,,,,,,,,,,,
